timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
32319941255,32319941255,18,40,0,0,0,1514,1493,1514,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32320145374,32320145374,18,40,0,0,0,1514,1493,1514,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32320348465,32320348465,18,40,0,0,0,1514,1490,1539,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32320547918,32320547918,18,40,0,0,0,1514,1468,1547,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32320759773,32320759773,18,40,0,0,0,1514,1460,1547,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32320959745,32320959745,18,40,0,0,0,1514,1460,1580,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32321166758,32321166758,18,40,0,0,0,1514,1465,1580,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32321370788,32321370788,18,40,0,0,0,1514,1460,1581,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32321562151,32321562151,18,40,0,0,0,1514,1452,1581,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32321766066,32321766066,18,40,0,0,0,1554,1465,1582,1519,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32321969187,32321969187,18,40,0,0,0,1556,1467,1615,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32322181135,32322181135,18,40,0,0,0,1557,1470,1615,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32322385364,32322385364,18,40,0,0,0,1550,1466,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32322584584,32322584584,18,40,0,0,0,1589,1460,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32322780567,32322780567,18,40,0,0,0,1577,1463,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32322979705,32322979705,18,40,0,0,0,1574,1466,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
