timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
62232667,-0.18260102,-0.043812,0.7023538
62243867,-0.1723641,-0.04951222,0.66905004
62252687,-0.18479197,-0.054113287,0.68631655
62261468,-0.1973462,-0.04980524,0.6836034
62271879,-0.18900889,-0.06674441,0.68032557
62281519,-0.20161775,-0.062260553,0.6689756
62291866,-0.18897247,-0.06686162,0.6860835
62301476,-0.19110605,-0.056091502,0.6791156
62311881,-0.19110605,-0.056091502,0.6791156
62320708,-0.20566477,-0.028675228,0.6898466
62331904,-0.18282281,-0.068605416,0.6672874
62340668,-0.18696634,-0.07722152,0.67289877
62351917,-0.16811404,-0.062494967,0.6802799
62360668,-0.16811404,-0.062494967,0.6802799
62369487,-0.18477431,-0.058421336,0.68910897
62379886,-0.19734564,-0.0455558,0.6836899
62389510,-0.17652749,-0.070818044,0.671523
62399872,-0.19110824,-0.07308928,0.6787696
62410268,-0.19110824,-0.07308928,0.6787696
62419882,-0.16402404,-0.045204177,0.6662048
62428667,-0.16189156,-0.06447318,0.6729997
62439873,-0.17433709,-0.0647662,0.6874737
62448668,-0.18906352,-0.0665686,0.67168874
62467867,-0.18070635,-0.070818044,0.6715494
62477467,-0.19099735,-0.06069257,0.6963028
62487911,-0.18275052,-0.07308928,0.6787167
62497467,-0.2099021,-0.058245525,0.6806307
62507891,-0.2099021,-0.058245525,0.6806307
62516689,-0.17853087,-0.039210934,0.68514013
62527890,-0.18694869,-0.081529565,0.6756912
62536716,-0.19521426,-0.0733237,0.6903118
62547894,-0.168151,-0.066627204,0.67443556
62556686,-0.168151,-0.066627204,0.67443556
62565467,-0.18704191,-0.09823432,0.6609505
62575867,-0.20165363,-0.057893906,0.6633042
62585468,-0.1765457,-0.070759445,0.668644
62595867,-0.19320814,-0.08368358,0.67712706
62606268,-0.19320814,-0.08368358,0.67712706
62615867,-0.1618546,-0.06034095,0.67884403
62624668,-0.18488465,-0.0665686,0.67166233
62635867,-0.18072073,-0.041013334,0.66927594
62644668,-0.19532079,-0.05172485,0.6734706
62663868,-0.18275216,-0.08583761,0.6784572
62673467,-0.16818906,-0.07925833,0.66841817
62683867,-0.17660141,-0.07908252,0.65983415
62693467,-0.17236793,-0.07925833,0.6684446
62703868,-0.17236793,-0.07925833,0.6684446
62712710,-0.1765457,-0.070759445,0.668644
62723878,-0.1661824,-0.08536878,0.65532
62732668,-0.17013729,-0.043577585,0.6907587
62743887,-0.1765457,-0.070759445,0.668644
62752668,-0.1765457,-0.070759445,0.668644
62761468,-0.19121586,-0.059989326,0.6617554
62771876,-0.1973644,-0.049746633,0.6807244
62781468,-0.16211335,-0.0892666,0.6379334
62791876,-0.19114576,-0.08147097,0.6728387
62802288,-0.19114576,-0.08147097,0.6728387
62811867,-0.18074386,-0.07919973,0.66561854
62820668,-0.17246117,-0.09596309,0.65370387
62831874,-0.17860864,-0.07722152,0.6728459
62840679,-0.18070689,-0.07506749,0.6714629
62851885,-0.16616365,-0.08117795,0.65828544
62859867,-0.17645027,-0.03705691,0.6837308
62869474,-0.17869805,-0.064180166,0.6587107
62879867,-0.2036288,-0.090145655,0.6813818
62889482,-0.20141691,-0.058655754,0.70073044
62899867,-0.1641007,-0.07471587,0.6540835
62908699,-0.18694922,-0.085779004,0.6756047
62919889,-0.17440993,-0.06453178,0.6759579
62928668,-0.17661798,-0.06627558,0.65721476
62939876,-0.17247829,-0.08740559,0.65099794
62948668,-0.18068868,-0.0751261,0.67434186
62957493,-0.15577777,-0.061850328,0.6485323
62967867,-0.14534384,-0.093691856,0.646378
62979131,-0.19537705,-0.06429737,0.6645743
62987893,-0.16614434,-0.07273766,0.6613373
62998293,-0.17045231,-0.085075766,0.6409517
63007868,-0.17045231,-0.085075766,0.6409517
63016668,-0.17654514,-0.06651,0.6687305
63027076,-0.17045178,-0.08082633,0.6410382
63036668,-0.18910049,-0.07070084,0.6658444
63047867,-0.1703966,-0.07675269,0.6497615
63056668,-0.1703966,-0.07675269,0.6497615
63067067,-0.17032923,-0.119481534,0.66041225
63075867,-0.20156695,-0.09218247,0.67700696
63087098,-0.18496077,-0.09183085,0.65962756
63095868,-0.18081944,-0.10021254,0.65367025
63105468,-0.18081944,-0.10021254,0.65367025
63115067,-0.18497734,-0.07902392,0.6570081
63124676,-0.17034361,-0.08967683,0.6581389
63135067,-0.17444688,-0.06866402,0.6701135
63144680,-0.17667644,-0.095845886,0.64797246
63155074,-0.17667644,-0.095845886,0.64797246
63163867,-0.19103651,-0.08182259,0.6901124
63175089,-0.19120203,-0.09404348,0.6639424
63183868,-0.16415916,-0.10428617,0.64484125
63195089,-0.1807637,-0.091889456,0.66248006
63203880,-0.1807637,-0.091889456,0.66248006
63212691,-0.18498172,-0.11301946,0.65631616
63223067,-0.16618459,-0.10236656,0.654974
63232668,-0.15769668,-0.081529565,0.6755062
63243067,-0.18494311,-0.0961389,0.66242003
63252668,-0.18494311,-0.0961389,0.66242003
63263075,-0.1724049,-0.083390564,0.6626002
63271870,-0.19116725,-0.10690902,0.66944075
63283075,-0.1556514,-0.070759445,0.66851187
63291868,-0.14943112,-0.089735426,0.66088563
63303067,-0.16828285,-0.10021254,0.653591
63311069,-0.18703863,-0.07273766,0.66146946
63320668,-0.15572861,-0.10452059,0.6563041
63331067,-0.18492599,-0.1046964,0.66512597
63340668,-0.1828057,-0.077162914,0.6699934
63351067,-0.13702363,-0.10207354,0.6403943
63359896,-0.17864998,-0.11534929,0.66630954
63371067,-0.16828175,-0.091713645,0.65376395
63379883,-0.16200465,-0.09386767,0.65512055
63391067,-0.15576449,-0.10015393,0.6506327
63399868,-0.16614544,-0.08123655,0.66116434
63408690,-0.1724242,-0.09183085,0.6595482
63419067,-0.19335873,-0.121459745,0.65331703
63428730,-0.1829359,-0.09799991,0.64940834
63439082,-0.16625853,-0.11063103,0.64328516
63448668,-0.18702699,-0.123789586,0.66331047
63459069,-0.18702699,-0.123789586,0.66331047
63467868,-0.13904907,-0.10015393,0.65052694
63479067,-0.1767327,-0.10841841,0.6390761
63487868,-0.18081944,-0.10021254,0.65367025
63499069,-0.15162314,-0.10853562,0.64467543
63507889,-0.15162314,-0.10853562,0.64467543
63516674,-0.18289894,-0.09386767,0.6552527
63527074,-0.17881496,-0.12332076,0.64022607
63536668,-0.15996158,-0.10009533,0.64778024
63547067,-0.17879401,-0.10213214,0.64353746
63557479,-0.17879401,-0.10213214,0.64353746
63567072,-0.17458037,-0.11499768,0.64900947
63575868,-0.17454231,-0.10236656,0.65502685
63587067,-0.14326762,-0.12553339,0.6442766
63595867,-0.18284376,-0.08979403,0.663976
63615078,-0.15991023,-0.1257678,0.6558981
63624667,-0.18284376,-0.08979403,0.663976
63635067,-0.16619897,-0.072561845,0.6527005
63644697,-0.1767724,-0.13379785,0.6327992
63655068,-0.1767724,-0.13379785,0.6327992
63663868,-0.15992352,-0.0874642,0.65379757
63675067,-0.1516634,-0.13816449,0.63831204
63683868,-0.1600151,-0.09142063,0.6393164
63695073,-0.15587483,-0.1083012,0.63318604
63703868,-0.15587483,-0.1083012,0.63318604
63712669,-0.16196877,-0.09823432,0.66079193
63723067,-0.15795708,-0.123203546,0.63433605
63732681,-0.19336092,-0.1384575,0.652971
63743084,-0.17036018,-0.0768699,0.65551937
63753468,-0.17036018,-0.0768699,0.65551937
63763082,-0.17881277,-0.10632299,0.6405721
63771879,-0.15165901,-0.10416897,0.639004
63783075,-0.18093033,-0.11260923,0.6361371
63791868,-0.18500157,-0.12570919,0.6531777
63811069,-0.14954312,-0.11063103,0.6431794
63820683,-0.1683016,-0.10440338,0.65062547
63831067,-0.13070956,-0.10009533,0.6475952
63840668,-0.14124055,-0.11470465,0.6344033
63851068,-0.14124055,-0.11470465,0.6344033
63859867,-0.13486801,-0.083156146,0.65084654
63871068,-0.1475927,-0.12931399,0.62118495
63879881,-0.178778,-0.11918852,0.6460704
63891067,-0.1451987,-0.09841013,0.669323
63899867,-0.1451987,-0.09841013,0.669323
63908690,-0.176624,-0.11301946,0.6562633
63919070,-0.17456052,-0.10230795,0.6521479
63930271,-0.14954202,-0.10213214,0.64335245
63939068,-0.17041972,-0.11493907,0.64610404
63948681,-0.17041972,-0.11493907,0.64610404
63958267,-0.14542215,-0.13595188,0.63399726
63967915,-0.16826628,-0.11301946,0.6562104
63978288,-0.14954366,-0.114880465,0.64309293
63987904,-0.14961813,-0.1273944,0.63131773
63998324,-0.14961813,-0.1273944,0.63131773
64007068,-0.13490716,-0.10428617,0.64465624
64018270,-0.15166011,-0.112667836,0.638831
64027068,-0.14338015,-0.15067843,0.6264839
64038268,-0.1516612,-0.12116673,0.63865805
64047070,-0.17053172,-0.13583466,0.6283979
64055867,-0.16407031,-0.12157695,0.6588899
64066267,-0.14534603,-0.11068963,0.646032
64075882,-0.16828722,-0.13420808,0.65289897
64086267,-0.17658758,-0.113136664,0.66202116
64095905,-0.15374126,-0.11907131,0.64015394
64106267,-0.14545856,-0.13583466,0.62823933
