timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
84022352,0,1200.0,0.25786987,0.0,0.5895328,0.0,0,0,0,0,0,0,0,1,0,1,36
84026757,84025011,80000.0,1.0,13.176879,25.668676,0.0,255,0,6,4,0,2,0,0,1,1,43
84370419,84369407,80000.0,1.0,13.176879,25.668676,0.0,1,240,18,4,0,2,0,0,1,1,43
85031487,0,1200.0,0.25786987,0.0,0.46475077,0.0,0,0,0,0,0,0,0,1,0,1,36
85031971,85025065,80000.0,1.0,13.051196,25.603188,0.0,255,0,6,4,0,2,0,0,1,1,43
85368586,85368055,80000.0,1.0,13.051196,25.603188,0.0,1,240,18,4,0,2,0,0,1,1,43
86025632,86025174,80000.0,1.0,13.150992,25.552519,0.0,255,0,6,4,0,2,0,0,1,1,43
86035426,0,1200.0,0.25786987,0.0,0.42606393,0.0,0,0,0,0,0,0,0,1,0,1,36
86368171,86367118,80000.0,1.0,13.150992,25.552519,0.0,1,240,18,4,0,2,0,0,1,1,43
87027619,87026035,80000.0,1.0,13.119315,25.71833,0.0,255,0,6,4,0,2,0,0,1,1,43
87042068,0,1200.0,0.25786987,0.0,0.47095773,0.0,0,0,0,0,0,0,0,1,0,1,36
87366862,87364290,80000.0,1.0,13.119315,25.71833,0.0,1,240,18,4,0,2,0,0,1,1,43
88027337,88027201,80000.0,1.0,13.146011,25.442675,0.0,255,0,6,4,0,2,0,0,1,1,43
88045115,0,1200.0,0.25786987,0.0,0.46159625,0.0,0,0,0,0,0,0,0,1,0,1,36
88366672,88365925,80000.0,1.0,13.146011,25.442675,0.0,1,240,18,4,0,2,0,0,1,1,43
89026321,89023740,80000.0,1.0,13.097451,25.610086,0.0,255,0,6,4,0,2,0,0,1,1,43
89048898,0,1200.0,0.25786987,0.0,0.5847825,0.0,0,0,0,0,0,0,0,1,0,1,36
89369725,89368199,80000.0,1.0,13.097451,25.610086,0.0,1,240,18,4,0,2,0,0,1,1,43
90026530,90024616,80000.0,1.0,13.079179,25.595642,0.0,255,0,6,4,0,2,0,0,1,1,43
90052560,0,1200.0,0.25786987,0.0,0.29995197,0.0,0,0,0,0,0,0,0,1,0,1,36
90364208,90364077,80000.0,1.0,13.079179,25.595642,0.0,1,240,18,4,0,2,0,0,1,1,43
91023774,91023457,80000.0,1.0,13.060415,25.447334,0.0,255,0,6,4,0,2,0,0,1,1,43
91053324,0,1200.0,0.25786987,0.0,0.34574068,0.0,0,0,0,0,0,0,0,1,0,1,36
91369023,91366855,80000.0,1.0,13.060415,25.447334,0.0,1,240,18,4,0,2,0,0,1,1,43
92028309,92027338,80000.0,1.0,13.211766,25.777697,0.0,255,0,6,4,0,2,0,0,1,1,43
92054774,0,1200.0,0.25786987,0.0,0.34574068,0.0,0,0,0,0,0,0,0,1,0,1,36
92370798,92368284,80000.0,1.0,13.211766,25.777697,0.0,1,240,18,4,0,2,0,0,1,1,43
93027996,93026570,80000.0,1.0,13.053899,25.514303,0.0,255,0,6,4,0,2,0,0,1,1,43
93062701,0,1200.0,0.25786987,0.0,0.6962018,0.0,0,0,0,0,0,0,0,1,0,1,36
93366351,93365546,80000.0,1.0,13.053899,25.514303,0.0,1,240,18,4,0,2,0,0,1,1,43
94026847,94025235,80000.0,1.0,13.089979,25.584824,0.0,255,0,6,4,0,2,0,0,1,1,43
94065914,0,1200.0,0.25786987,0.0,0.4008445,0.0,0,0,0,0,0,0,0,1,0,1,36
94369010,94368232,80000.0,1.0,13.089979,25.584824,0.0,1,240,18,4,0,2,0,0,1,1,43
95026311,95026058,80000.0,1.0,13.152855,25.643717,0.0,255,0,6,4,0,2,0,0,1,1,43
95076323,0,1200.0,0.25786987,0.0,0.42161885,0.0,0,0,0,0,0,0,0,1,0,1,36
95368418,95368112,80000.0,1.0,13.152855,25.643717,0.0,1,240,18,4,0,2,0,0,1,1,43
96028390,96025094,80000.0,1.0,13.178257,25.516005,0.0,255,0,6,4,0,2,0,0,1,1,43
96081192,0,1200.0,0.25786987,0.0,0.50693995,0.0,0,0,0,0,0,0,0,1,0,1,36
96369727,96368053,80000.0,1.0,13.178257,25.516005,0.0,1,240,18,4,0,2,0,0,1,1,43
97024259,97023515,80000.0,1.0,13.085276,25.687428,0.0,255,0,6,4,0,2,0,0,1,1,43
97090499,0,1200.0,0.25786987,0.0,0.50081956,0.0,0,0,0,0,0,0,0,1,0,1,36
97371595,97369048,80000.0,1.0,13.085276,25.687428,0.0,1,240,18,4,0,2,0,0,1,1,43
98026704,98026088,80000.0,1.0,13.094731,25.549286,0.0,255,0,6,4,0,2,0,0,1,1,43
98097902,0,1200.0,0.25786987,0.0,0.34410363,0.0,0,0,0,0,0,0,0,1,0,1,36
98370556,98368057,80000.0,1.0,13.094731,25.549286,0.0,1,240,18,4,0,2,0,0,1,1,43
99030852,99030302,80000.0,1.0,13.183758,25.486805,0.0,255,0,6,4,0,2,0,0,1,1,43
99099211,0,1200.0,0.25786987,0.0,0.37584388,0.0,0,0,0,0,0,0,0,1,0,1,36
99367793,99365975,80000.0,1.0,13.183758,25.486805,0.0,1,240,18,4,0,2,0,0,1,1,43
100026674,100024127,80000.0,1.0,13.065635,25.659834,0.0,255,0,6,4,0,2,0,0,1,1,43
100104248,0,1200.0,0.25786987,0.0,0.6694352,0.0,0,0,0,0,0,0,0,1,0,1,36
100368282,100365032,80000.0,1.0,13.065635,25.659834,0.0,1,240,18,4,0,2,0,0,1,1,43
101024874,101023216,80000.0,1.0,13.077353,25.52024,0.0,255,0,6,4,0,2,0,0,1,1,43
