timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
135709512,32767,32767,32767,32767,32767,-41,32767
135713469,32767,32767,32767,32767,-68,32767,-201
135717471,32767,32767,32767,32767,32767,32767,32767
135721470,32767,32767,32767,32767,32767,-55,32767
135729494,32767,32767,32767,32767,32767,-40,32767
135733470,32767,32767,32767,32767,-44,32767,32767
135737510,32767,32767,32767,32767,32767,32767,-242
135741470,32767,32767,32767,32767,32767,-72,-181
135745476,32767,32767,32767,32767,-54,32767,32767
135749470,32767,32767,32767,32767,32767,-40,32767
135753470,32767,32767,32767,32767,32767,32767,32767
135757485,32767,32767,32767,32767,-63,32767,-241
135761470,32767,32767,32767,32767,32767,-72,32767
135765470,32767,32767,32767,32767,32767,32767,-221
135769470,32767,32767,32767,32767,32767,32767,32767
135773476,32767,32767,32767,32767,32767,32767,32767
135777512,32767,32767,32767,32767,-45,-41,-242
135781487,32767,32767,32767,32767,32767,32767,32767
135785469,32767,32767,32767,32767,32767,32767,32767
135789481,32767,32767,32767,32767,-53,-64,-260
135793476,32767,32767,32767,32767,32767,32767,32767
135797470,32767,32767,32767,32767,32767,-40,-241
135801478,32767,32767,32767,32767,-63,32767,32767
135805470,32767,32767,32767,32767,32767,32767,-221
135809470,32767,32767,32767,32767,32767,-64,32767
135813477,32767,32767,32767,32767,32767,32767,-201
135817478,32767,32767,32767,32767,32767,-40,32767
135821470,32767,32767,32767,32767,-54,32767,-178
135825470,32767,32767,32767,32767,32767,32767,32767
135829470,32767,32767,32767,32767,32767,-72,32767
135833476,32767,32767,32767,32767,-68,32767,-202
135837468,32767,32767,32767,32767,32767,-40,32767
135841470,32767,32767,32767,32767,-44,32767,-181
135845470,32767,32767,32767,32767,32767,32767,32767
135849470,32767,32767,32767,32767,32767,-72,32767
135853476,32767,32767,32767,32767,32767,32767,-202
135857478,32767,32767,32767,32767,32767,-40,32767
135861471,32767,32767,32767,32767,32767,32767,-181
135865487,32767,32767,32767,32767,-72,32767,32767
135869469,32767,32767,32767,32767,32767,-72,32767
135876708,32767,32767,32767,32767,32767,-57,-234
135880670,32767,32767,32767,32767,32767,32767,32767
135884675,32767,32767,32767,32767,-56,32767,-213
135888679,32767,32767,32767,32767,32767,-72,32767
135893470,32767,32767,32767,32767,32767,32767,32767
135897470,32767,32767,32767,32767,32767,-64,-241
135904699,32767,32767,32767,32767,-46,-32,-213
135911887,32767,32767,32767,32767,32767,32767,-186
135915880,32767,32767,32767,32767,-51,-48,32767
135920676,32767,32767,32767,32767,32767,32767,32767
135924675,32767,32767,32767,32767,32767,-40,-213
135928672,32767,32767,32767,32767,-71,32767,32767
135932723,32767,32767,32767,32767,32767,32767,32767
135937470,32767,32767,32767,32767,32767,-72,-240
135941476,32767,32767,32767,32767,32767,32767,32767
135945485,32767,32767,32767,32767,32767,-40,-221
135949487,32767,32767,32767,32767,-67,32767,32767
135953470,32767,32767,32767,32767,32767,32767,-201
135960715,32767,32767,32767,32767,32767,32767,32767
135964672,32767,32767,32767,32767,32767,-39,-212
135968669,32767,32767,32767,32767,-55,32767,32767
135972717,32767,32767,32767,32767,32767,32767,32767
135976670,32767,32767,32767,32767,32767,-64,32767
135980676,32767,32767,32767,32767,32767,32767,-273
135984671,32767,32767,32767,32767,32767,-40,32767
135988707,32767,32767,32767,32767,32767,32767,-254
135993471,32767,32767,32767,32767,-77,32767,-201
135997470,32767,32767,32767,32767,32767,-80,32767
136001470,32767,32767,32767,32767,-62,32767,32767
136005481,32767,32767,32767,32767,32767,-64,-221
136009476,32767,32767,32767,32767,32767,32767,32767
136012706,32767,32767,32767,32767,-53,-33,32767
136016691,32767,32767,32767,32767,32767,32767,-233
136019918,32767,32767,32767,32767,32767,32767,32767
136024671,32767,32767,32767,32767,32767,-47,-213
136028676,32767,32767,32767,32767,32767,32767,32767
136032688,32767,32767,32767,32767,32767,-40,32767
136036678,32767,32767,32767,32767,-58,32767,-233
136040678,32767,32767,32767,32767,32767,32767,32767
136044686,32767,32767,32767,32767,32767,-64,-213
136047912,32767,32767,32767,32767,-63,32767,32767
136052724,32767,32767,32767,32767,32767,32767,32767
136056682,32767,32767,32767,32767,-43,-72,-233
136060672,32767,32767,32767,32767,32767,32767,32767
136064670,32767,32767,32767,32767,32767,-64,-213
136068676,32767,32767,32767,32767,32767,32767,32767
136072681,32767,32767,32767,32767,32767,-40,32767
136076671,32767,32767,32767,32767,32767,32767,-233
136080670,32767,32767,32767,32767,-65,32767,32767
136084670,32767,32767,32767,32767,32767,-72,-211
136088677,32767,32767,32767,32767,32767,32767,32767
136092670,32767,32767,32767,32767,-52,-40,32767
136096670,32767,32767,32767,32767,32767,32767,-233
136100674,32767,32767,32767,32767,32767,32767,32767
136103915,32767,32767,32767,32767,-59,-65,-206
136108676,32767,32767,32767,32767,32767,32767,32767
136112671,32767,32767,32767,32767,32767,-40,32767
136116670,32767,32767,32767,32767,32767,32767,-233
136120711,32767,32767,32767,32767,32767,32767,32767
136124669,32767,32767,32767,32767,32767,-72,-212
136128718,32767,32767,32767,32767,-70,32767,32767
136132669,32767,32767,32767,32767,32767,-64,32767
136136676,32767,32767,32767,32767,-43,32767,-231
136140671,32767,32767,32767,32767,32767,-40,32767
136144669,32767,32767,32767,32767,32767,32767,-213
136148670,32767,32767,32767,32767,-63,32767,32767
136152670,32767,32767,32767,32767,32767,-64,32767
136156718,32767,32767,32767,32767,32767,32767,-234
136160711,32767,32767,32767,32767,32767,-40,32767
136164670,32767,32767,32767,32767,32767,32767,-213
136167943,32767,32767,32767,32767,-48,32767,32767
136172670,32767,32767,32767,32767,32767,-64,32767
136176686,32767,32767,32767,32767,32767,32767,-233
136180707,32767,32767,32767,32767,-67,-41,32767
136184693,32767,32767,32767,32767,32767,32767,-213
136188689,32767,32767,32767,32767,-45,32767,32767
136192670,32767,32767,32767,32767,32767,-72,-194
136196676,32767,32767,32767,32767,32767,32767,32767
136200674,32767,32767,32767,32767,32767,-40,32767
136204690,32767,32767,32767,32767,32767,32767,-213
136208672,32767,32767,32767,32767,32767,32767,32767
136212713,32767,32767,32767,32767,-60,-73,32767
136216676,32767,32767,32767,32767,32767,32767,-233
136220696,32767,32767,32767,32767,32767,-40,32767
136224693,32767,32767,32767,32767,-71,32767,-213
136228675,32767,32767,32767,32767,32767,32767,32767
136232670,32767,32767,32767,32767,-54,-72,32767
136236670,32767,32767,32767,32767,32767,32767,-233
136240712,32767,32767,32767,32767,32767,-65,32767
136244676,32767,32767,32767,32767,32767,32767,-213
136248669,32767,32767,32767,32767,32767,-40,32767
136252670,32767,32767,32767,32767,-44,32767,32767
136256670,32767,32767,32767,32767,32767,32767,-233
136260670,32767,32767,32767,32767,32767,-64,32767
136264677,32767,32767,32767,32767,-53,32767,-212
136268696,32767,32767,32767,32767,32767,-40,32767
136272670,32767,32767,32767,32767,32767,32767,32767
136276670,32767,32767,32767,32767,-58,32767,-232
136280670,32767,32767,32767,32767,32767,-64,32767
136284676,32767,32767,32767,32767,32767,32767,-211
136288701,32767,32767,32767,32767,32767,-41,32767
136292670,32767,32767,32767,32767,32767,32767,32767
136296704,32767,32767,32767,32767,-55,-33,-233
136300670,32767,32767,32767,32767,32767,32767,32767
136304676,32767,32767,32767,32767,32767,32767,-213
136308682,32767,32767,32767,32767,-66,-40,32767
136312670,32767,32767,32767,32767,32767,32767,32767
136316670,32767,32767,32767,32767,-45,32767,-233
136320670,32767,32767,32767,32767,32767,-72,32767
136324692,32767,32767,32767,32767,32767,32767,-212
136328678,32767,32767,32767,32767,32767,-56,32767
136332684,32767,32767,32767,32767,32767,32767,32767
136336670,32767,32767,32767,32767,32767,-40,-233
136340670,32767,32767,32767,32767,-67,32767,32767
136344671,32767,32767,32767,32767,32767,32767,-213
136348670,32767,32767,32767,32767,-46,-63,32767
136352733,32767,32767,32767,32767,32767,32767,32767
136356670,32767,32767,32767,32767,32767,-39,-233
136360670,32767,32767,32767,32767,-65,32767,32767
136364670,32767,32767,32767,32767,32767,32767,-213
136368704,32767,32767,32767,32767,32767,-64,32767
136372715,32767,32767,32767,32767,32767,32767,32767
136376672,32767,32767,32767,32767,32767,-39,-233
136380687,32767,32767,32767,32767,32767,32767,32767
136384670,32767,32767,32767,32767,-68,32767,-213
136388670,32767,32767,32767,32767,32767,-72,32767
136392676,32767,32767,32767,32767,-46,32767,32767
136396670,32767,32767,32767,32767,32767,-40,-233
136400670,32767,32767,32767,32767,32767,32767,32767
136404670,32767,32767,32767,32767,-55,32767,-213
136408701,32767,32767,32767,32767,32767,-73,32767
136412676,32767,32767,32767,32767,32767,32767,32767
