timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
131304209,4.988672,0.0,0,0,1,0,0,0,0
131814165,4.9838376,0.0,0,0,1,0,0,0,0
132314163,4.9822264,0.0,0,0,1,0,0,0,0
132814163,4.9822264,0.0,0,0,1,0,0,0,0
133314163,4.9822264,0.0,0,0,1,0,0,0,0
133814163,4.980615,0.0,0,0,1,0,0,0,0
134314163,5.0015626,0.0,0,0,1,0,0,0,0
134814163,4.975781,0.0,0,0,1,0,0,0,0
135314173,4.975781,0.0,0,0,1,0,0,0,0
135824198,4.9854493,0.0,0,0,1,0,0,0,0
136324253,4.979004,0.0,0,0,1,0,0,0,0
136824206,4.990283,0.0,0,0,1,0,0,0,0
137324182,4.988672,0.0,0,0,1,0,0,0,0
137824200,4.990283,0.0,0,0,1,0,0,0,0
138324167,4.9854493,0.0,0,0,1,0,0,0,0
138824198,4.9838376,0.0,0,0,1,0,0,0,0
139324161,4.988672,0.0,0,0,1,0,0,0,0
139824177,4.993506,0.0,0,0,1,0,0,0,0
140324161,4.9773927,0.0,0,0,1,0,0,0,0
140824205,4.979004,0.0,0,0,1,0,0,0,0
141334190,4.9822264,0.0,0,0,1,0,0,0,0
141834163,4.988672,0.0,0,0,1,0,0,0,0
142334177,4.975781,0.0,0,0,1,0,0,0,0
142834188,4.9838376,0.0,0,0,1,0,0,0,0
143344166,4.980615,0.0,0,0,1,0,0,0,0
143844199,4.9741697,0.0,0,0,1,0,0,0,0
144344185,4.9854493,0.0,0,0,1,0,0,0,0
144844189,4.9918942,0.0,0,0,1,0,0,0,0
145344205,4.9870605,0.0,0,0,1,0,0,0,0
145854163,4.9822264,0.0,0,0,1,0,0,0,0
146354198,4.9709473,0.0,0,0,1,0,0,0,0
146854169,4.9854493,0.0,0,0,1,0,0,0,0
147354164,4.9838376,0.0,0,0,1,0,0,0,0
147854163,4.990283,0.0,0,0,1,0,0,0,0
148364202,4.9918942,0.0,0,0,1,0,0,0,0
148864205,4.988672,0.0,0,0,1,0,0,0,0
149364172,4.988672,0.0,0,0,1,0,0,0,0
149864179,4.995117,0.0,0,0,1,0,0,0,0
150374163,4.975781,0.0,0,0,1,0,0,0,0
151874163,4.9838376,0.0,0,0,1,0,0,0,0
152384217,4.990283,0.0,0,0,1,0,0,0,0
152884168,4.9918942,0.0,0,0,1,0,0,0,0
