timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
186663302,0,0.0,0.0,0.030131256,0.44268695,-0.6239319,0.26472634,0.68447477,-0.254872,-0.038133107,-0.112258345,-0.028062081,-0.029849542,-0.0020145755,-0.0010988325,0.0014978752,-1.2923734,0.9483785,1.1067575,-3.065115,0.0,0.6875864,0.028062081,0.0051574158,0.0035585028,0.02577003,0.017267715,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186759276,0,0.0,0.0,0.024686169,0.43100262,-0.6238133,0.26472634,0.68447477,-0.254872,-0.034406193,-0.11613083,-0.027051492,-0.026102051,-0.0020145755,-0.0010988325,0.0014978752,-1.6064919,0.7791042,1.3941836,-3.0666761,0.0,0.6874678,0.027051492,0.005473662,0.0037659132,0.026593342,0.017777355,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186863277,0,0.0,0.0,0.018932372,0.4200757,-0.6243403,0.26472634,0.68447477,-0.254872,-0.03881244,-0.087138295,-0.037583653,-0.03447634,-0.0020145755,-0.0010988325,0.0014978752,-0.9496334,-1.320164,1.1395814,-3.069904,0.0,0.68799484,0.037583653,0.0051369583,0.003546591,0.02569535,0.017218659,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186967270,0,0.0,0.0,0.014664798,0.41200075,-0.62559086,0.26472634,0.68447477,-0.254872,-0.017498683,-0.068485044,-0.033903927,-0.029873408,-0.0020145755,-0.0010988325,0.0014978752,0.7843422,2.4014134,-0.2350504,-3.073885,0.0,0.6892454,0.033903927,0.005228855,0.0036054833,0.026019953,0.017405465,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187063313,0,0.0,0.0,0.013828991,0.40604272,-0.62854075,0.26472634,0.68447477,-0.254872,0.02161169,-0.055697173,-0.05324296,-0.049267657,-0.0020145755,-0.0010988325,0.0014978752,-3.6401675,-0.44794312,-1.6489613,-3.0766735,0.0,0.6921953,0.05324296,0.0051726913,0.0035678414,0.0258662,0.017309817,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187167309,0,0.0,0.0,0.017759632,0.40286,-0.6326181,0.26472634,0.68447477,-0.254872,0.0685758,-0.034305062,-0.04998835,-0.046655998,-0.0020145755,-0.0010988325,0.0014978752,-2.7960634,-1.1209112,1.7896558,-3.0775158,0.0,0.6962727,0.04998835,0.005243057,0.0036140797,0.026022967,0.017392494,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187271273,0,0.0,0.0,0.02759195,0.40191093,-0.6371067,0.26472634,0.68447477,-0.254872,0.12282001,-0.010711286,-0.037284732,-0.03477274,-0.0020145755,-0.0010988325,0.0014978752,-0.3088152,3.989978,-0.8904088,-3.0750806,0.0,0.70076126,0.037284732,0.0052937074,0.0036470352,0.026136575,0.01746613,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187370470,0,0.0,0.0,0.04245792,0.40246302,-0.640186,0.26472634,0.68447477,-0.254872,0.17003618,-0.016680494,-0.021022523,-0.019053204,-0.0020145755,-0.0010988325,0.0014978752,1.6301167,1.9897381,0.21025342,-3.072156,0.0,0.70384055,0.021022523,0.0052188546,0.003597477,0.025983293,0.017378723,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187474492,0,0.0,0.0,0.06286638,0.40293187,-0.6416015,0.26472634,0.68447477,-0.254872,0.21665846,-0.025019994,-0.015606326,-0.013687363,-0.0020145755,-0.0010988325,0.0014978752,4.8142314,0.5149957,0.3046653,-3.0688334,0.0,0.70525604,0.015606326,0.005348161,0.0036816888,0.026349757,0.017612524,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187570469,0,0.0,0.0,0.086708635,0.4026161,-0.64321214,0.26472634,0.68447477,-0.254872,0.22920275,-0.037974987,-0.02138695,-0.018980557,-0.0020145755,-0.0010988325,0.0014978752,-0.1837869,-1.907247,0.5397841,-3.063788,0.0,0.7068667,0.02138695,0.005342659,0.0036797177,0.02640938,0.01768762,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187674470,0,0.0,0.0,0.116465114,0.40173048,-0.64537936,0.26472634,0.68447477,-0.254872,0.25299367,-0.020683108,-0.040241625,-0.037392687,-0.0020145755,-0.0010988325,0.0014978752,1.0456816,3.6711924,-2.3740854,-3.057782,0.0,0.7090339,0.040241625,0.005398276,0.003717877,0.026489036,0.017719397,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187778490,0,0.0,0.0,0.1489425,0.4003892,-0.6485288,0.26472634,0.68447477,-0.254872,0.2845002,-0.021242252,-0.045244094,-0.042590726,-0.0020145755,-0.0010988325,0.0014978752,3.721152,-0.48304626,-1.2434801,-3.0521598,0.0,0.71218336,0.045244094,0.0054887463,0.0037768807,0.02671713,0.017841598,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187882477,0,0.0,0.0,0.18269631,0.3986977,-0.65411395,0.26472634,0.68447477,-0.254872,0.28939608,-0.023251757,-0.05428185,-0.052482862,-0.0020145755,-0.0010988325,0.0014978752,-0.7115688,-1.046235,0.14753889,-3.046823,0.0,0.7177685,0.05428185,0.005145767,0.0035524643,0.02574809,0.017245814,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
187986470,0,0.0,0.0,0.21628813,0.3971208,-0.6610475,0.26472634,0.68447477,-0.254872,0.30493692,-0.0038514717,-0.063681565,-0.06325011,-0.0020145755,-0.0010988325,0.0014978752,1.9373184,2.4806752,-0.8555958,-3.0435808,0.0,0.72470206,0.063681565,0.0052286955,0.0036052524,0.026014425,0.017389031,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
188082476,0,0.0,0.0,0.24558115,0.39723608,-0.66809785,0.26472634,0.68447477,-0.254872,0.2888657,0.013597518,-0.063571885,-0.064459704,-0.0020145755,-0.0010988325,0.0014978752,0.2671277,-1.6882137,-0.39170128,-3.0416863,0.0,0.7317524,0.063571885,0.005253166,0.0036181905,0.026189504,0.017491475,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
188186474,0,0.0,0.0,0.2744635,0.40013224,-0.6767396,0.26472634,0.68447477,-0.254872,0.29053035,0.034538157,-0.072834544,-0.074766815,-0.0020145755,-0.0010988325,0.0014978752,2.2623096,-2.0537229,-1.0740099,-3.0397072,0.0,0.7403941,0.072834544,0.005390577,0.0037075768,0.026495159,0.017672658,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
188290470,0,0.0,0.0,0.30020505,0.40604174,-0.6859458,0.26472634,0.68447477,-0.254872,0.27955464,0.059735164,-0.090224065,-0.092720464,-0.0020145755,-0.0010988325,0.0014978752,-0.7371928,-1.2006199,-0.6175703,-3.0381606,0.0,0.74960035,0.090224065,0.005114524,0.0035281891,0.025708405,0.017200861,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
188386520,0,0.0,0.0,0.32156485,0.4142603,-0.69552773,0.26472634,0.68447477,-0.254872,0.24437328,0.09475295,-0.0837941,-0.086567365,-0.0020145755,-0.0010988325,0.0014978752,-0.96695775,2.5271428,1.88649,-3.0380847,0.0,0.7591823,0.0837941,0.005399108,0.0037151098,0.026385173,0.017617803,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
188490473,0,0.0,0.0,0.3426056,0.42604855,-0.7067368,0.26472634,0.68447477,-0.254872,0.25684053,0.118190765,-0.09849906,-0.101497225,-0.0020145755,-0.0010988325,0.0014978752,3.0282688,2.5395672,2.8074257,-3.042017,0.0,0.77039135,0.09849906,0.0051108976,0.0035262501,0.025680576,0.017183501,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
188594470,0,0.0,0.0,0.36354056,0.44081149,-0.7191851,0.26472634,0.68447477,-0.254872,0.25683275,0.12691407,-0.11237559,-0.11558427,-0.0020145755,-0.0010988325,0.0014978752,-0.41375765,-2.957952,1.2135892,-3.046432,0.0,0.78283966,0.11237559,0.0051846555,0.0035745203,0.025877139,0.017303316,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
